ID,description,subject,title,runtime
ffhb0039 ,Dan Chenowetch is interviewed about why he smokes and where he has seen smoking locations regulated.,tobacco; cigarette; secondhand smoke; addiction; bans; flavors; brands; craving;,Interview with smoker Dan Chenowhich,0:20:41
ffxh0257,Deposition of Jeff Kilper in RE: National Prescription Opiate Litigation; in 4 parts,lawsuit; legal activity; litigation; opioids; sales; marketing; ,"Deposition of Jeff Kilper, Senior Director for Finance for Specialty Generics",1:07:17
fghb0039,"Camel Cigarettes infomercial on why their cigarettes are superior based on taste, quality tobacco, and efficiency. People became hooked on the Camel cigarette because Camel gave out free cigarettes or gave out deals on Camel cigarettes.",tobacco; cigarette; marketing;,Camel Cigarettes informercial,00:20:51
fgxh0257,"Deposition of Mark Trudeau in Re: State of Rhode Island v Purdue Pharma LP, et al; in 9 parts",lawsuit; legal activity; litigation; opioids; sales; marketing; ,"Deposition of Mark Trudeau, President and CEO",0:52:40
fhfk0146,CNN debate on the ban of smoking on Airplanes. Ban is put in place because of health concerns. ,tobacco; cigarette;secondhand smoke; closed environment;,CNN Crossfire debate on smoking in public,0:26:20
fhgb0191,Compilation of ads for children to say no to smoking.,tobacco; cigarette; youth access; PSA; children; future;,Think. Don't Smoke. ad campaign compilation,0:34:02
fhhb0039,RJ Reynolds tobacco company board discusses advertising Tobacco products. Ads can not have an appeal to youth. Free sample cigarettes are given if the person is over 21 year old.,tobacco; cigarette; advertise; appeal;,RJ Reynolds Tobacco board meeting on advertisment,0:15:07
fhhh0100,Compilation of ads for Camel cigarettes. Ads were performed by working class people and athletes who claimed they smoke to relax. ,tobacco; cigarette; break; relief;,Camel cigarette advertisment compilation,0:27:35
fhhj0223,ABC7 news report on stopping the youth from accessing tobacco products. The organization behind stopping youth access to tobacco is called We Card. We Card is dedicated to stopping youth access by giving vendors posters that display age 21 or over and displaying ID required.,tobacco; cigarette; youth; regulation;,ABC 7 news report: WeCard,0:09:08
fhkv0183,error code 224003,tobacco; cigarette;,"""FOLLOW THE LEADER-ENGLISH"" ZYRA-9334 YOUTH SMOKING PREVENTION PHILIP MORRIS USA 990900",
fhwm0256,Video clip of interview with prescriber discussing their recall of a sales presentation on prescription opioids.,opioids; coupon program; efficacy; sales and marketing;,Opiod prescriber interview,0:01:35
fjbg0182,error code 224003,tobacco; cigarette;  ,YAMS (YOUNG ADULT MEN) AD EXPLORATION COMPOSITE TAPE 950100,
fjhb0039,Standup comedy show with ads inbetween explaining why Winston cigarettes are the best brand.,tobacco; cigarette;quality; advertising;,Winston No Bull comedy break,0:17:38
fjnj0229,Animation modeling the process of producing a cigarette in a factory.,tobacco; cigarette;,Cigarette Production animation,0:01:47
fkhb0039,News report on the increase of teen smokers.,tobacco; cigarette; peer pressure; addiction; advertisment;,A Closer Look with Faith Daniels on teen smoking,0:28:46
flhb0039,Winston cigarettes video on how they make their cigarettes safer and high quality compared to other cigarettes. ,tobacco; cigarette; filter; taste;,R.J. Reynolds tobacco comapnyresearch and development of cigarettes,0:09:11
flwk0146,CBS news report on phillip morris cigarettes advertising that smoking is financially ok. Smoking is cultural and is an economic staple to the US. ,tobacco; cigarette; cost; culture;,"CBS This Morning Interview Guy Smith, Vice President of Philip Morris International",0:08:04
