ID,description,subject,title,runtime
ffhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,TAMPA TAPE 7 /CAMERA 1 DAN CHENOWETCH 5/15/95 (950515) (RUNNING TIME 20:14).,
ffxh0257,Deposition of Jeff Kilper in RE: National Prescription Opiate Litigation; in 4 parts,lawsuit; legal activity; litigation; opioids; sales; marketing; <a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"Deposition of Jeff Kilper, Senior Director for Finance for Specialty Generics",
fghb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"SM 200 RJ REYNOLDS TOBACCO COMPANY ""ON THE TRAIL OF GENUINE TASTE"" CAMEL SALES TRAINING PAT CUNDARI VERSION LENGTH 18:54 DUB 10-31-96 (961031) (RUNNING TIME 20:58MIN).",
fgxh0257,"Deposition of Mark Trudeau in Re: State of Rhode Island v Purdue Pharma LP, et al; in 9 parts",lawsuit; legal activity; litigation; opioids; sales; marketing; <a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"Deposition of Mark Trudeau, President and CEO",
fhfk0146,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,CROSSFIRE; CNN,
fhgb0191,,tobacco; cigarette; youth access; PSA;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,Y&R PHILIP MORRIS USA YOUTH SMOKING PREVENTION MULTIPLE SPOTS,
fhhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,SM 106 ADCODE 05-24-91 (910424) LENGTH 13:30 DUB 10-30-96 (961030). RUNNING TIME 15:12.,
fhhh0100,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,CAMEL TELEVISION COMMERCIALS ON VIDEOTAPE.  CAMEL CIGARETTE 16 MM COMMERCIAL TRANSFERS. REEL # 1. 11/17/94 (941117).,
fhhj0223,,tobacco; cigarette;<a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=tobaccoarchives'>Browse by keywords in UCSF tobacco industry videos</a>; <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,'WE CARD STORY' LENGTH 2:15 'ELECTED OFFICIALS' LENGTH 3:20 971212,
fhkv0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"""FOLLOW THE LEADER-ENGLISH"" ZYRA-9334 YOUTH SMOKING PREVENTION PHILIP MORRIS USA 990900",
fhwm0256,"<div><span style=""color:rgb(51,51,51);font-family:'Helvetica Neue', Helvetica, Arial, sans-serif;font-size:12.1884px;background-color:rgb(255,255,255);"">Video clip of interview with prescriber discussing their recall of a sales presentation on prescription opioids. </span></div><div><span style=""color:rgb(51,51,51);font-family:'Helvetica Neue', Helvetica, Arial, sans-serif;font-size:12.1884px;background-color:rgb(255,255,255);"">Part of the UCSF-JHU Opioid Industry Documents Archive; McKinsey Documents Collection </span></div><span style=""color:rgb(51,51,51);font-family:'Helvetica Neue', Helvetica, Arial, sans-serif;font-size:12.1884px;background-color:rgb(255,255,255);"">Bates#: MCK-MAAG-0159862</span>",opioids; coupon program; efficacy; sales and marketing; prescriber interview,S[1]F UNAIDED MISS [PCP Interview],
fjbg0182,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,YAMS (YOUNG ADULT MEN) AD EXPLORATION COMPOSITE TAPE 950100,
fjhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,WINSTON NO BULL COMEDY BREAK. (RUNNING TIME 0:17:42).,
fjnj0229,,tobacco; cigarette;<a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=tobaccoarchives'>Browse by keywords in UCSF tobacco industry videos</a>; <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,ANIMATION 2 BLOCK E 60.MPG,
fkhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"A CLOSER LOOK"" W/ FAITH DANIELS - ""GETTING HOOKED YOUNG"" WXII CHANNEL 12 12:30 P.M. 01-09-92 (920109). (RUNNING TIME 0:28:52).",
flhb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,R.J. REYNOLDS TOBACCO COMPANY RESEARCH & DEVELOPMENT OVERVIEW. (RUNNING TIME 0:09:09).,
flwk0146,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"CBS THIS MORNING; INTERVIEW WITH GUY SMITH, VICE PRESIDENT PHILIP MORRIS, WUSA-TV, CBS, WASHINGTON, DC",
fmpj0015,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,PR 286 RJR NABISCO ANNUAL MEETING PRESS CONFERENCE BENTON CONVENTION CENTER- WINSTON-SALEM NC RAW PROGRAM FOOTAGE 04-17-96 (960417) DUB 10-30-96 (961030).,
fndh0182,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,ARCHIVE LOCATION VARIANCE SHEET,
fngp0190,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"Video ABC News Story, 1/10/1979",
fnkp0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,MARLBORO RACING VIDEO MODULES FOR REGION 1 MEETING,
fnpj0015,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,COADY MILLER CIT11.,
fnyk0094,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,ABC EVENING NEWS RJR SMOKELESS CIGARETTE.,
fpgl0191,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,Johnson-abbr..mpeg,
fpnh0063,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,No Title,
fqdh0182,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,ARCHIVE LOCATION VARIANCE SHEET,
fqgl0191,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,LOW TAR WARNING,
fqgp0190,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,Video NBC Smoking and Health Clip - Introduction,
fqwc0072,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"BENNETT LEBOW/RJR NABISCO"" MONEYLINE CABLE NEWS NETWORK 960416 7:00 - 7:30 PM ET 6:58",
frdv0183,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,MARLBORO 940000 - 980000 TV/C POOL,
frgp0190,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,Face the Nation with Joseph Cullman (full version),
fsfp0190,,tobacco; cigarette;  <a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,CBS 19910409,
fsph0257,,<a href='https://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,"Pain Matters : Evolving Roles, Same Goals : The Changing Landscape of Pain Management",
ftgb0039,,tobacco; cigarette;<a href='http://www.archive.org/browse.php?field=subject&mediatype=movies&collection=industry-archives'>Browse by keywords in UCSF industry videos</a>,R.J. REYNOLDS TOBACCO COMPANY CAMEL CIGARETTE COMMERCIAL TRANSFERS REEL #8 LENGTH 44:35 11/17/94 (941117). RUNNING TIME 0:54:48.,
